1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: AC000000816F9A41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sat Aug 23 16:06:01 PDT 2025
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Aug 24 03:06:01 PDT 2025
Total Mission Samples:  4162
Total Device Samples:  20713
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/24/25, 3:06:01 AM,C,10.615
8/24/25, 3:16:01 AM,C,10.615
8/24/25, 3:26:01 AM,C,10.615
8/24/25, 3:36:01 AM,C,10.114
8/24/25, 3:46:01 AM,C,10.114
8/24/25, 3:56:01 AM,C,10.114
8/24/25, 4:06:01 AM,C,10.114
8/24/25, 4:16:01 AM,C,9.613
8/24/25, 4:26:01 AM,C,9.613
8/24/25, 4:36:01 AM,C,9.613
8/24/25, 4:46:01 AM,C,9.613
8/24/25, 4:56:01 AM,C,9.111
8/24/25, 5:06:01 AM,C,9.111
8/24/25, 5:16:01 AM,C,8.61
8/24/25, 5:26:01 AM,C,8.61
8/24/25, 5:36:01 AM,C,8.61
8/24/25, 5:46:01 AM,C,8.109
8/24/25, 5:56:01 AM,C,8.109
8/24/25, 6:06:01 AM,C,8.109
8/24/25, 6:16:01 AM,C,8.109
8/24/25, 6:26:01 AM,C,8.109
8/24/25, 6:36:01 AM,C,8.109
8/24/25, 6:46:01 AM,C,8.61
8/24/25, 6:56:01 AM,C,8.61
8/24/25, 7:06:01 AM,C,8.61
8/24/25, 7:16:01 AM,C,9.111
8/24/25, 7:26:01 AM,C,9.111
8/24/25, 7:36:01 AM,C,9.111
8/24/25, 7:46:01 AM,C,9.613
8/24/25, 7:56:01 AM,C,10.615
8/24/25, 8:06:01 AM,C,11.617
8/24/25, 8:16:01 AM,C,13.12
8/24/25, 8:26:01 AM,C,14.622
8/24/25, 8:36:01 AM,C,16.625
8/24/25, 8:46:01 AM,C,18.127
8/24/25, 8:56:01 AM,C,19.128
8/24/25, 9:06:01 AM,C,19.128
8/24/25, 9:16:01 AM,C,19.629
8/24/25, 9:26:01 AM,C,20.129
8/24/25, 9:36:01 AM,C,20.629
8/24/25, 9:46:01 AM,C,21.63
8/24/25, 9:56:01 AM,C,21.63
8/24/25, 10:06:01 AM,C,23.131
8/24/25, 10:16:01 AM,C,22.63
8/24/25, 10:26:01 AM,C,26.631
8/24/25, 10:36:01 AM,C,29.13
8/24/25, 10:46:01 AM,C,28.63
8/24/25, 10:56:01 AM,C,26.131
8/24/25, 11:06:01 AM,C,23.631
8/24/25, 11:16:01 AM,C,23.131
8/24/25, 11:26:01 AM,C,22.13
8/24/25, 11:36:01 AM,C,22.63
8/24/25, 11:46:01 AM,C,23.631
8/24/25, 11:56:01 AM,C,23.631
8/24/25, 12:06:01 PM,C,24.631
8/24/25, 12:16:01 PM,C,25.631
8/24/25, 12:26:01 PM,C,25.631
8/24/25, 12:36:01 PM,C,26.131
8/24/25, 12:46:01 PM,C,27.131
8/24/25, 12:56:01 PM,C,27.131
8/24/25, 1:06:01 PM,C,27.131
8/24/25, 1:16:01 PM,C,29.13
8/24/25, 1:26:01 PM,C,30.129
8/24/25, 1:36:01 PM,C,30.629
8/24/25, 1:46:01 PM,C,31.628
8/24/25, 1:56:01 PM,C,31.628
8/24/25, 2:06:01 PM,C,31.628
8/24/25, 2:16:01 PM,C,29.13
8/24/25, 2:26:01 PM,C,28.63
8/24/25, 2:36:01 PM,C,29.629
8/24/25, 2:46:01 PM,C,23.631
8/24/25, 2:56:01 PM,C,22.63
8/24/25, 3:06:01 PM,C,22.13
8/24/25, 3:16:01 PM,C,18.127
8/24/25, 3:26:01 PM,C,15.123
8/24/25, 3:36:01 PM,C,15.123
8/24/25, 3:46:01 PM,C,14.622
8/24/25, 3:56:01 PM,C,14.622
8/24/25, 4:06:01 PM,C,14.122
8/24/25, 4:16:01 PM,C,14.122
8/24/25, 4:26:01 PM,C,14.122
8/24/25, 4:36:01 PM,C,14.622
8/24/25, 4:46:01 PM,C,14.622
8/24/25, 4:56:01 PM,C,14.622
8/24/25, 5:06:01 PM,C,14.122
8/24/25, 5:16:01 PM,C,14.122
8/24/25, 5:26:01 PM,C,13.621
8/24/25, 5:36:01 PM,C,14.122
8/24/25, 5:46:01 PM,C,14.122
8/24/25, 5:56:01 PM,C,14.122
8/24/25, 6:06:01 PM,C,14.122
8/24/25, 6:16:01 PM,C,13.621
8/24/25, 6:26:01 PM,C,13.621
8/24/25, 6:36:01 PM,C,13.621
8/24/25, 6:46:01 PM,C,13.621
8/24/25, 6:56:01 PM,C,13.621
8/24/25, 7:06:01 PM,C,13.621
8/24/25, 7:16:01 PM,C,14.122
8/24/25, 7:26:01 PM,C,14.622
8/24/25, 7:36:01 PM,C,14.122
8/24/25, 7:46:01 PM,C,14.122
8/24/25, 7:56:01 PM,C,13.621
8/24/25, 8:06:01 PM,C,13.12
8/24/25, 8:16:01 PM,C,12.619
8/24/25, 8:26:01 PM,C,12.118
8/24/25, 8:36:01 PM,C,11.617
8/24/25, 8:46:01 PM,C,11.617
8/24/25, 8:56:01 PM,C,11.617
8/24/25, 9:06:01 PM,C,11.617
8/24/25, 9:16:01 PM,C,11.116
8/24/25, 9:26:01 PM,C,11.116
8/24/25, 9:36:01 PM,C,11.116
8/24/25, 9:46:01 PM,C,10.615
8/24/25, 9:56:01 PM,C,10.615
8/24/25, 10:06:01 PM,C,10.615
8/24/25, 10:16:01 PM,C,10.114
8/24/25, 10:26:01 PM,C,10.114
8/24/25, 10:36:01 PM,C,10.114
8/24/25, 10:46:01 PM,C,9.613
8/24/25, 10:56:01 PM,C,9.613
8/24/25, 11:06:01 PM,C,9.613
8/24/25, 11:16:01 PM,C,9.111
8/24/25, 11:26:01 PM,C,9.111
8/24/25, 11:36:01 PM,C,8.61
8/24/25, 11:46:01 PM,C,8.61
8/24/25, 11:56:01 PM,C,8.61
8/25/25, 12:06:01 AM,C,8.109
8/25/25, 12:16:01 AM,C,8.109
8/25/25, 12:26:01 AM,C,8.109
8/25/25, 12:36:01 AM,C,7.607
8/25/25, 12:46:01 AM,C,7.607
8/25/25, 12:56:01 AM,C,7.607
8/25/25, 1:06:01 AM,C,7.106
8/25/25, 1:16:01 AM,C,7.106
8/25/25, 1:26:01 AM,C,7.106
8/25/25, 1:36:01 AM,C,6.605
8/25/25, 1:46:01 AM,C,7.106
8/25/25, 1:56:01 AM,C,6.605
8/25/25, 2:06:01 AM,C,6.605
8/25/25, 2:16:01 AM,C,6.605
8/25/25, 2:26:01 AM,C,6.605
8/25/25, 2:36:01 AM,C,6.103
8/25/25, 2:46:01 AM,C,6.103
8/25/25, 2:56:01 AM,C,6.103
8/25/25, 3:06:01 AM,C,6.103
8/25/25, 3:16:01 AM,C,6.103
8/25/25, 3:26:01 AM,C,6.103
8/25/25, 3:36:01 AM,C,5.602
8/25/25, 3:46:01 AM,C,5.602
8/25/25, 3:56:01 AM,C,5.602
8/25/25, 4:06:01 AM,C,5.602
8/25/25, 4:16:01 AM,C,6.103
8/25/25, 4:26:01 AM,C,6.605
8/25/25, 4:36:01 AM,C,6.605
8/25/25, 4:46:01 AM,C,6.103
8/25/25, 4:56:01 AM,C,6.605
8/25/25, 5:06:01 AM,C,6.103
8/25/25, 5:16:01 AM,C,5.602
8/25/25, 5:26:01 AM,C,5.602
8/25/25, 5:36:01 AM,C,5.1
8/25/25, 5:46:01 AM,C,5.1
8/25/25, 5:56:01 AM,C,5.1
8/25/25, 6:06:01 AM,C,5.1
8/25/25, 6:16:01 AM,C,4.599
8/25/25, 6:26:01 AM,C,4.599
8/25/25, 6:36:01 AM,C,4.599
8/25/25, 6:46:01 AM,C,5.1
8/25/25, 6:56:01 AM,C,5.1
8/25/25, 7:06:01 AM,C,5.1
8/25/25, 7:16:01 AM,C,5.602
8/25/25, 7:26:01 AM,C,5.602
8/25/25, 7:36:01 AM,C,6.103
8/25/25, 7:46:01 AM,C,6.605
8/25/25, 7:56:01 AM,C,7.607
8/25/25, 8:06:01 AM,C,8.109
8/25/25, 8:16:01 AM,C,8.61
8/25/25, 8:26:01 AM,C,9.111
8/25/25, 8:36:01 AM,C,10.114
8/25/25, 8:46:01 AM,C,11.116
8/25/25, 8:56:01 AM,C,12.118
8/25/25, 9:06:01 AM,C,12.619
8/25/25, 9:16:01 AM,C,13.621
8/25/25, 9:26:01 AM,C,14.122
8/25/25, 9:36:01 AM,C,15.123
8/25/25, 9:46:01 AM,C,18.628
8/25/25, 9:56:01 AM,C,19.128
8/25/25, 10:06:01 AM,C,20.129
8/25/25, 10:16:01 AM,C,20.629
8/25/25, 10:26:01 AM,C,21.63
8/25/25, 10:36:01 AM,C,22.63
8/25/25, 10:46:01 AM,C,25.131
8/25/25, 10:56:01 AM,C,26.131
8/25/25, 11:06:01 AM,C,26.631
8/25/25, 11:16:01 AM,C,27.63
8/25/25, 11:26:01 AM,C,28.13
8/25/25, 11:36:01 AM,C,29.13
8/25/25, 11:46:01 AM,C,29.13
8/25/25, 11:56:01 AM,C,26.631
8/25/25, 12:06:01 PM,C,30.129
8/25/25, 12:16:01 PM,C,26.631
8/25/25, 12:26:01 PM,C,22.13
8/25/25, 12:36:01 PM,C,20.629
8/25/25, 12:46:01 PM,C,19.128
8/25/25, 12:56:01 PM,C,18.628
8/25/25, 1:06:01 PM,C,18.127
8/25/25, 1:16:01 PM,C,16.625
8/25/25, 1:26:01 PM,C,15.624
8/25/25, 1:36:01 PM,C,14.622
8/25/25, 1:46:01 PM,C,12.118
8/25/25, 1:56:01 PM,C,9.111
8/25/25, 2:06:01 PM,C,8.61
8/25/25, 2:16:01 PM,C,8.61
8/25/25, 2:26:01 PM,C,8.61
8/25/25, 2:36:01 PM,C,8.61
8/25/25, 2:46:01 PM,C,8.109
8/25/25, 2:56:01 PM,C,8.61
8/25/25, 3:06:01 PM,C,8.61
8/25/25, 3:16:01 PM,C,9.111
8/25/25, 3:26:01 PM,C,9.613
8/25/25, 3:36:01 PM,C,9.613
8/25/25, 3:46:01 PM,C,10.114
8/25/25, 3:56:01 PM,C,10.114
8/25/25, 4:06:01 PM,C,10.114
8/25/25, 4:16:01 PM,C,10.114
8/25/25, 4:26:01 PM,C,10.114
8/25/25, 4:36:01 PM,C,10.615
8/25/25, 4:46:01 PM,C,10.615
8/25/25, 4:56:01 PM,C,10.615
8/25/25, 5:06:01 PM,C,11.116
8/25/25, 5:16:01 PM,C,11.116
8/25/25, 5:26:01 PM,C,11.617
8/25/25, 5:36:01 PM,C,12.118
8/25/25, 5:46:01 PM,C,12.118
8/25/25, 5:56:01 PM,C,11.617
8/25/25, 6:06:01 PM,C,11.617
8/25/25, 6:16:01 PM,C,12.118
8/25/25, 6:26:01 PM,C,12.118
8/25/25, 6:36:01 PM,C,11.617
8/25/25, 6:46:01 PM,C,11.617
8/25/25, 6:56:01 PM,C,11.617
8/25/25, 7:06:01 PM,C,11.617
8/25/25, 7:16:01 PM,C,11.617
8/25/25, 7:26:01 PM,C,11.116
8/25/25, 7:36:01 PM,C,11.617
8/25/25, 7:46:01 PM,C,11.116
8/25/25, 7:56:01 PM,C,10.615
8/25/25, 8:06:01 PM,C,10.615
8/25/25, 8:16:01 PM,C,10.114
8/25/25, 8:26:01 PM,C,10.114
8/25/25, 8:36:01 PM,C,9.613
8/25/25, 8:46:01 PM,C,9.613
8/25/25, 8:56:01 PM,C,9.613
8/25/25, 9:06:01 PM,C,9.111
8/25/25, 9:16:01 PM,C,9.111
8/25/25, 9:26:01 PM,C,8.61
8/25/25, 9:36:01 PM,C,8.61
8/25/25, 9:46:01 PM,C,8.61
8/25/25, 9:56:01 PM,C,8.61
8/25/25, 10:06:01 PM,C,8.61
8/25/25, 10:16:01 PM,C,8.109
8/25/25, 10:26:01 PM,C,8.109
8/25/25, 10:36:01 PM,C,7.607
8/25/25, 10:46:01 PM,C,7.607
8/25/25, 10:56:01 PM,C,7.607
8/25/25, 11:06:01 PM,C,7.607
8/25/25, 11:16:01 PM,C,7.607
8/25/25, 11:26:01 PM,C,7.607
8/25/25, 11:36:01 PM,C,7.607
8/25/25, 11:46:01 PM,C,7.607
8/25/25, 11:56:01 PM,C,7.106
8/26/25, 12:06:01 AM,C,7.106
8/26/25, 12:16:01 AM,C,7.106
8/26/25, 12:26:01 AM,C,7.106
8/26/25, 12:36:01 AM,C,6.605
8/26/25, 12:46:01 AM,C,6.605
8/26/25, 12:56:01 AM,C,6.605
8/26/25, 1:06:01 AM,C,7.106
8/26/25, 1:16:01 AM,C,7.106
8/26/25, 1:26:01 AM,C,7.106
8/26/25, 1:36:01 AM,C,7.106
8/26/25, 1:46:01 AM,C,7.106
8/26/25, 1:56:01 AM,C,7.106
8/26/25, 2:06:01 AM,C,7.607
8/26/25, 2:16:01 AM,C,7.607
8/26/25, 2:26:01 AM,C,7.607
8/26/25, 2:36:01 AM,C,7.607
8/26/25, 2:46:01 AM,C,7.106
8/26/25, 2:56:01 AM,C,7.106
8/26/25, 3:06:01 AM,C,6.605
8/26/25, 3:16:01 AM,C,6.605
8/26/25, 3:26:01 AM,C,6.605
8/26/25, 3:36:01 AM,C,6.605
8/26/25, 3:46:01 AM,C,6.605
8/26/25, 3:56:01 AM,C,6.103
8/26/25, 4:06:01 AM,C,6.103
8/26/25, 4:16:01 AM,C,6.103
8/26/25, 4:26:01 AM,C,5.602
8/26/25, 4:36:01 AM,C,5.602
8/26/25, 4:46:01 AM,C,5.602
8/26/25, 4:56:01 AM,C,5.602
8/26/25, 5:06:01 AM,C,5.1
8/26/25, 5:16:01 AM,C,5.1
8/26/25, 5:26:01 AM,C,5.1
8/26/25, 5:36:01 AM,C,5.1
8/26/25, 5:46:01 AM,C,4.599
8/26/25, 5:56:01 AM,C,4.599
8/26/25, 6:06:01 AM,C,4.599
8/26/25, 6:16:01 AM,C,4.599
8/26/25, 6:26:01 AM,C,4.599
8/26/25, 6:36:01 AM,C,4.599
8/26/25, 6:46:01 AM,C,4.599
8/26/25, 6:56:01 AM,C,5.1
8/26/25, 7:06:01 AM,C,5.1
8/26/25, 7:16:01 AM,C,5.602
8/26/25, 7:26:01 AM,C,5.602
8/26/25, 7:36:01 AM,C,6.103
8/26/25, 7:46:01 AM,C,6.605
8/26/25, 7:56:01 AM,C,7.607
8/26/25, 8:06:01 AM,C,8.61
8/26/25, 8:16:01 AM,C,9.613
8/26/25, 8:26:01 AM,C,10.114
8/26/25, 8:36:01 AM,C,10.615
8/26/25, 8:46:01 AM,C,12.118
8/26/25, 8:56:01 AM,C,12.619
8/26/25, 9:06:01 AM,C,13.12
8/26/25, 9:16:01 AM,C,13.12
8/26/25, 9:26:01 AM,C,14.122
8/26/25, 9:36:01 AM,C,14.122
8/26/25, 9:46:01 AM,C,15.123
8/26/25, 9:56:01 AM,C,14.122
8/26/25, 10:06:01 AM,C,14.122
8/26/25, 10:16:01 AM,C,14.622
8/26/25, 10:26:01 AM,C,15.123
8/26/25, 10:36:01 AM,C,19.629
8/26/25, 10:46:01 AM,C,19.629
8/26/25, 10:56:01 AM,C,19.128
8/26/25, 11:06:01 AM,C,19.128
8/26/25, 11:16:01 AM,C,19.128
8/26/25, 11:26:01 AM,C,20.129
8/26/25, 11:36:01 AM,C,20.129
8/26/25, 11:46:01 AM,C,24.131
8/26/25, 11:56:01 AM,C,24.131
8/26/25, 12:06:01 PM,C,23.631
8/26/25, 12:16:01 PM,C,29.629
8/26/25, 12:26:01 PM,C,24.631
8/26/25, 12:36:01 PM,C,21.63
8/26/25, 12:46:01 PM,C,25.131
8/26/25, 12:56:01 PM,C,28.63
8/26/25, 1:06:01 PM,C,29.629
8/26/25, 1:16:01 PM,C,29.629
8/26/25, 1:26:01 PM,C,30.129
8/26/25, 1:36:01 PM,C,28.63
8/26/25, 1:46:01 PM,C,28.13
8/26/25, 1:56:01 PM,C,27.63
8/26/25, 2:06:01 PM,C,26.631
8/26/25, 2:16:01 PM,C,26.131
8/26/25, 2:26:01 PM,C,27.63
8/26/25, 2:36:01 PM,C,29.13
8/26/25, 2:46:01 PM,C,28.13
8/26/25, 2:56:01 PM,C,22.63
8/26/25, 3:06:01 PM,C,21.63
8/26/25, 3:16:01 PM,C,22.63
8/26/25, 3:26:01 PM,C,24.631
8/26/25, 3:36:01 PM,C,20.129
8/26/25, 3:46:01 PM,C,18.628
8/26/25, 3:56:01 PM,C,18.127
8/26/25, 4:06:01 PM,C,17.126
8/26/25, 4:16:01 PM,C,16.125
8/26/25, 4:26:01 PM,C,15.624
8/26/25, 4:36:01 PM,C,14.122
8/26/25, 4:46:01 PM,C,13.621
8/26/25, 4:56:01 PM,C,13.621
8/26/25, 5:06:01 PM,C,13.621
8/26/25, 5:16:01 PM,C,13.12
8/26/25, 5:26:01 PM,C,13.12
8/26/25, 5:36:01 PM,C,13.12
8/26/25, 5:46:01 PM,C,13.12
8/26/25, 5:56:01 PM,C,13.12
8/26/25, 6:06:01 PM,C,12.619
8/26/25, 6:16:01 PM,C,12.118
8/26/25, 6:26:01 PM,C,12.118
8/26/25, 6:36:01 PM,C,12.118
8/26/25, 6:46:01 PM,C,12.118
8/26/25, 6:56:01 PM,C,11.617
8/26/25, 7:06:01 PM,C,12.118
8/26/25, 7:16:01 PM,C,12.118
8/26/25, 7:26:01 PM,C,12.118
8/26/25, 7:36:01 PM,C,12.118
8/26/25, 7:46:01 PM,C,11.617
8/26/25, 7:56:01 PM,C,11.617
8/26/25, 8:06:01 PM,C,11.116
8/26/25, 8:16:01 PM,C,11.116
8/26/25, 8:26:01 PM,C,10.615
8/26/25, 8:36:01 PM,C,10.615
8/26/25, 8:46:01 PM,C,10.615
8/26/25, 8:56:01 PM,C,10.615
8/26/25, 9:06:01 PM,C,10.615
8/26/25, 9:16:01 PM,C,10.615
8/26/25, 9:26:01 PM,C,10.615
8/26/25, 9:36:01 PM,C,10.615
8/26/25, 9:46:01 PM,C,10.615
8/26/25, 9:56:01 PM,C,10.615
8/26/25, 10:06:01 PM,C,10.615
8/26/25, 10:16:01 PM,C,10.615
8/26/25, 10:26:01 PM,C,10.615
8/26/25, 10:36:01 PM,C,10.114
8/26/25, 10:46:01 PM,C,10.114
8/26/25, 10:56:01 PM,C,10.114
8/26/25, 11:06:01 PM,C,10.114
8/26/25, 11:16:01 PM,C,10.114
8/26/25, 11:26:01 PM,C,10.114
8/26/25, 11:36:01 PM,C,10.114
8/26/25, 11:46:01 PM,C,10.114
8/26/25, 11:56:01 PM,C,10.114
8/27/25, 12:06:01 AM,C,10.615
8/27/25, 12:16:01 AM,C,10.615
8/27/25, 12:26:01 AM,C,10.114
8/27/25, 12:36:01 AM,C,10.114
8/27/25, 12:46:01 AM,C,10.114
8/27/25, 12:56:01 AM,C,10.114
8/27/25, 1:06:01 AM,C,10.114
8/27/25, 1:16:01 AM,C,10.114
8/27/25, 1:26:01 AM,C,10.114
8/27/25, 1:36:01 AM,C,10.114
8/27/25, 1:46:01 AM,C,10.114
8/27/25, 1:56:01 AM,C,10.114
8/27/25, 2:06:01 AM,C,10.114
8/27/25, 2:16:01 AM,C,10.114
8/27/25, 2:26:01 AM,C,10.114
8/27/25, 2:36:01 AM,C,10.114
8/27/25, 2:46:01 AM,C,10.114
8/27/25, 2:56:01 AM,C,10.114
8/27/25, 3:06:01 AM,C,10.114
8/27/25, 3:16:01 AM,C,10.114
8/27/25, 3:26:01 AM,C,10.114
8/27/25, 3:36:01 AM,C,10.114
8/27/25, 3:46:01 AM,C,10.114
8/27/25, 3:56:01 AM,C,9.613
8/27/25, 4:06:01 AM,C,9.613
8/27/25, 4:16:01 AM,C,9.111
8/27/25, 4:26:01 AM,C,9.111
8/27/25, 4:36:01 AM,C,9.111
8/27/25, 4:46:01 AM,C,9.111
8/27/25, 4:56:01 AM,C,8.61
8/27/25, 5:06:01 AM,C,8.61
8/27/25, 5:16:01 AM,C,8.61
8/27/25, 5:26:01 AM,C,8.61
8/27/25, 5:36:01 AM,C,8.61
8/27/25, 5:46:01 AM,C,8.109
8/27/25, 5:56:01 AM,C,8.109
8/27/25, 6:06:01 AM,C,7.607
8/27/25, 6:16:01 AM,C,8.109
8/27/25, 6:26:01 AM,C,8.109
8/27/25, 6:36:01 AM,C,7.607
8/27/25, 6:46:01 AM,C,7.607
8/27/25, 6:56:01 AM,C,8.109
8/27/25, 7:06:01 AM,C,8.61
8/27/25, 7:16:01 AM,C,8.61
8/27/25, 7:26:01 AM,C,8.61
8/27/25, 7:36:01 AM,C,9.111
8/27/25, 7:46:01 AM,C,9.111
8/27/25, 7:56:01 AM,C,9.613
8/27/25, 8:06:01 AM,C,10.114
8/27/25, 8:16:01 AM,C,11.116
8/27/25, 8:26:01 AM,C,12.619
8/27/25, 8:36:01 AM,C,13.12
8/27/25, 8:46:01 AM,C,13.621
8/27/25, 8:56:01 AM,C,13.12
8/27/25, 9:06:01 AM,C,13.12
8/27/25, 9:16:01 AM,C,13.12
8/27/25, 9:26:01 AM,C,14.122
8/27/25, 9:36:01 AM,C,16.625
8/27/25, 9:46:01 AM,C,21.63
8/27/25, 9:56:01 AM,C,23.131
8/27/25, 10:06:01 AM,C,20.629
8/27/25, 10:16:01 AM,C,18.127
8/27/25, 10:26:01 AM,C,19.128
8/27/25, 10:36:01 AM,C,21.63
8/27/25, 10:46:01 AM,C,23.631
8/27/25, 10:56:01 AM,C,24.631
8/27/25, 11:06:01 AM,C,21.63
8/27/25, 11:16:01 AM,C,25.131
8/27/25, 11:26:01 AM,C,27.131
8/27/25, 11:36:01 AM,C,28.63
8/27/25, 11:46:01 AM,C,29.13
8/27/25, 11:56:01 AM,C,26.131
8/27/25, 12:06:01 PM,C,28.13
8/27/25, 12:16:01 PM,C,29.13
8/27/25, 12:26:01 PM,C,29.629
8/27/25, 12:36:01 PM,C,29.629
8/27/25, 12:46:01 PM,C,31.628
8/27/25, 12:56:01 PM,C,30.629
8/27/25, 1:06:01 PM,C,27.63
8/27/25, 1:16:01 PM,C,25.131
8/27/25, 1:26:01 PM,C,27.63
8/27/25, 1:36:01 PM,C,23.631
8/27/25, 1:46:01 PM,C,24.631
8/27/25, 1:56:01 PM,C,25.131
8/27/25, 2:06:01 PM,C,26.631
8/27/25, 2:16:01 PM,C,21.63
8/27/25, 2:26:01 PM,C,19.128
8/27/25, 2:36:01 PM,C,17.627
8/27/25, 2:46:01 PM,C,17.126
8/27/25, 2:56:01 PM,C,16.125
8/27/25, 3:06:01 PM,C,16.125
8/27/25, 3:16:01 PM,C,15.624
8/27/25, 3:26:01 PM,C,15.624
8/27/25, 3:36:01 PM,C,15.123
8/27/25, 3:46:01 PM,C,15.624
8/27/25, 3:56:01 PM,C,16.125
8/27/25, 4:06:01 PM,C,17.627
8/27/25, 4:16:01 PM,C,18.127
8/27/25, 4:26:01 PM,C,18.127
8/27/25, 4:36:01 PM,C,18.127
8/27/25, 4:46:01 PM,C,17.627
8/27/25, 4:56:01 PM,C,17.627
8/27/25, 5:06:01 PM,C,16.625
8/27/25, 5:16:01 PM,C,16.625
8/27/25, 5:26:01 PM,C,16.625
8/27/25, 5:36:01 PM,C,17.126
8/27/25, 5:46:01 PM,C,16.625
8/27/25, 5:56:01 PM,C,16.625
8/27/25, 6:06:01 PM,C,17.126
8/27/25, 6:16:01 PM,C,16.625
8/27/25, 6:26:01 PM,C,16.625
8/27/25, 6:36:01 PM,C,16.125
8/27/25, 6:46:01 PM,C,15.624
8/27/25, 6:56:01 PM,C,15.123
8/27/25, 7:06:01 PM,C,14.122
8/27/25, 7:16:01 PM,C,13.12
8/27/25, 7:26:01 PM,C,12.619
8/27/25, 7:36:01 PM,C,12.118
8/27/25, 7:46:01 PM,C,11.617
8/27/25, 7:56:01 PM,C,11.116
8/27/25, 8:06:01 PM,C,10.615
8/27/25, 8:16:01 PM,C,10.114
8/27/25, 8:26:01 PM,C,10.114
8/27/25, 8:36:01 PM,C,9.613
8/27/25, 8:46:01 PM,C,9.111
8/27/25, 8:56:01 PM,C,9.111
8/27/25, 9:06:01 PM,C,9.111
8/27/25, 9:16:01 PM,C,8.61
8/27/25, 9:26:01 PM,C,8.109
8/27/25, 9:36:01 PM,C,8.109
8/27/25, 9:46:01 PM,C,8.109
8/27/25, 9:56:01 PM,C,8.109
8/27/25, 10:06:01 PM,C,8.109
8/27/25, 10:16:01 PM,C,8.109
8/27/25, 10:26:01 PM,C,7.607
8/27/25, 10:36:01 PM,C,7.607
8/27/25, 10:46:01 PM,C,7.607
8/27/25, 10:56:01 PM,C,7.106
8/27/25, 11:06:01 PM,C,7.106
8/27/25, 11:16:01 PM,C,7.106
8/27/25, 11:26:01 PM,C,6.605
8/27/25, 11:36:01 PM,C,6.605
8/27/25, 11:46:01 PM,C,6.605
8/27/25, 11:56:01 PM,C,6.103
8/28/25, 12:06:01 AM,C,6.103
8/28/25, 12:16:01 AM,C,6.103
8/28/25, 12:26:01 AM,C,6.103
8/28/25, 12:36:01 AM,C,6.103
8/28/25, 12:46:01 AM,C,5.602
8/28/25, 12:56:01 AM,C,5.602
8/28/25, 1:06:01 AM,C,5.602
8/28/25, 1:16:01 AM,C,5.602
8/28/25, 1:26:01 AM,C,5.1
8/28/25, 1:36:01 AM,C,5.1
8/28/25, 1:46:01 AM,C,5.1
8/28/25, 1:56:01 AM,C,5.1
8/28/25, 2:06:01 AM,C,5.1
8/28/25, 2:16:01 AM,C,5.1
8/28/25, 2:26:01 AM,C,5.1
8/28/25, 2:36:01 AM,C,4.599
8/28/25, 2:46:01 AM,C,4.599
8/28/25, 2:56:01 AM,C,4.599
8/28/25, 3:06:01 AM,C,4.599
8/28/25, 3:16:01 AM,C,4.599
8/28/25, 3:26:01 AM,C,4.599
8/28/25, 3:36:01 AM,C,4.599
8/28/25, 3:46:01 AM,C,4.097
8/28/25, 3:56:01 AM,C,4.097
8/28/25, 4:06:01 AM,C,4.097
8/28/25, 4:16:01 AM,C,3.596
8/28/25, 4:26:01 AM,C,3.596
8/28/25, 4:36:01 AM,C,3.596
8/28/25, 4:46:01 AM,C,3.094
8/28/25, 4:56:01 AM,C,3.094
8/28/25, 5:06:01 AM,C,3.094
8/28/25, 5:16:01 AM,C,3.094
8/28/25, 5:26:01 AM,C,2.592
8/28/25, 5:36:01 AM,C,2.592
8/28/25, 5:46:01 AM,C,2.592
8/28/25, 5:56:01 AM,C,2.592
8/28/25, 6:06:01 AM,C,2.09
8/28/25, 6:16:01 AM,C,2.09
8/28/25, 6:26:01 AM,C,2.09
8/28/25, 6:36:01 AM,C,2.09
8/28/25, 6:46:01 AM,C,2.09
8/28/25, 6:56:01 AM,C,2.592
8/28/25, 7:06:01 AM,C,2.592
8/28/25, 7:16:01 AM,C,3.094
8/28/25, 7:26:01 AM,C,3.596
8/28/25, 7:36:01 AM,C,3.596
8/28/25, 7:46:01 AM,C,4.097
8/28/25, 7:56:01 AM,C,5.1
8/28/25, 8:06:01 AM,C,5.602
8/28/25, 8:16:01 AM,C,6.605
8/28/25, 8:26:01 AM,C,7.106
8/28/25, 8:36:01 AM,C,8.109
8/28/25, 8:46:01 AM,C,9.613
8/28/25, 8:56:01 AM,C,10.615
8/28/25, 9:06:01 AM,C,11.116
8/28/25, 9:16:01 AM,C,12.619
8/28/25, 9:26:01 AM,C,13.12
8/28/25, 9:36:01 AM,C,16.125
8/28/25, 9:46:01 AM,C,20.629
8/28/25, 9:56:01 AM,C,23.131
8/28/25, 10:06:01 AM,C,24.131
8/28/25, 10:16:01 AM,C,24.631
8/28/25, 10:26:01 AM,C,25.631
